TH000048407,2016/04/15,42.6,NA,UBON RATCHATHANI,32.7
IN011330900,2016/04/15,43.0,NA,SAGAR,32.05
IN007101600,2016/04/16,26.8,NA,SHIMLA,19.05
IN023420800,2016/04/16,28.3,NA,MUKTESHWAR KUMAON,18.15
LAM00048955,2016/04/16,40.4,NA,PAKSE,33.15
WAM00068098,2016/04/16,42.8,NA,WALVIS BAY AIRPORT,20.71
IN007101600,2016/04/17,27.5,NA,SHIMLA,19.05
LAM00048955,2016/04/17,40.8,NA,PAKSE,33.15
LAM00048946,2016/04/17,41.6,NA,THAKHEK,32.3
IN010100700,2016/04/18,35.8,NA,THIRUVANANTHAPURAM,31.15
MYM00048650,2016/04/19,37.1,NA,KUALA LUMPUR INTL,30.0
TH000048400,2016/04/19,43.4,NA,NAKHON SAWAN,34.95
GHM00065465,2016/04/20,38.5,NA,AXIM,NA
IN009010100,2016/04/25,39.2,NA,BANGALORE,30.35
IN009070100,2016/04/25,40.4,NA,CHITRADURGA,31.73
BL000085043,2016/04/25,43.9,NA,RIBERALTA,27.3
USR0000NFBR,2016/04/25,53.9,NA,FORT BRAGG NORTH CAROLINA,20.22
IRM00040736,2016/04/26,38.5,NA,BABULSAR,15.88
TH000048379,2016/04/26,43.3,NA,PHETCHABUN,33.22
USR0000NFBR,2016/04/26,57.8,NA,FORT BRAGG NORTH CAROLINA,20.22
LAM00048938,2016/04/27,40.8,NA,SAYABOURY,30.0
USR0000NFBR,2016/04/27,59.4,NA,FORT BRAGG NORTH CAROLINA,20.22
IN009070100,2016/04/28,41.0,NA,CHITRADURGA,31.73
MXM00076593,2016/04/28,41.3,NA,PROGRESO,28.5
TH000048300,2016/04/28,44.6,NA,MAE HONG SON,34.37
USR0000I3MI,2016/04/28,NA,-56.7,3 MILE IDAHO,NA
USR0000NFBR,2016/04/28,60.0,NA,FORT BRAGG NORTH CAROLINA,20.22
MXM00076741,2016/04/30,42.9,NA,COATZACOALCOS  VER.,28.6
IN007101600,2016/05/02,29.8,NA,SHIMLA,NA
MYM00048674,2016/05/02,37.7,NA,MERSING,30.22
IN022023000,2016/05/02,46.2,NA,NEW DELHI/PALAM,34.1
MYM00048674,2016/05/04,37.8,NA,MERSING,30.22
ASN00014627,2016/05/05,47.0,NA,BULMAN AWS,28.57
TH000048400,2016/05/06,43.5,NA,NAKHON SAWAN,33.5
USC00084394,2016/05/07,NA,-16.1,JASPER,21.99
TH000048375,2016/05/07,41.8,NA,MAE SOT,31.69
TH000048400,2016/05/07,43.7,NA,NAKHON SAWAN,33.5
NOE00134274,2016/05/08,24.9,NA,OSLO - BLINDERN PLU,13.1
NOE00134274,2016/05/09,26.8,NA,OSLO - BLINDERN PLU,13.1
CF000004453,2016/05/09,39.6,NA,DJAMBALA,24.2
TH000048551,2016/05/11,41.4,NA,SURAT THANI,29.69
TH000048327,2016/05/11,42.5,NA,CHIANG MAI,31.9
IN011330900,2016/05/12,43.4,NA,SAGAR,34.05
IN023420800,2016/05/15,28.4,NA,MUKTESHWAR KUMAON,18.5
USS0005N19S,2016/05/15,28.6,NA,Tolby,6.43
IDM00096695,2016/05/15,38.4,NA,KOTABARU/SETAGEN,28.95
IN011330900,2016/05/15,44.8,NA,SAGAR,34.05
SG000001627,2016/05/16,49.0,NA,LINGUERE,32.85
IN023420800,2016/05/17,29.2,NA,MUKTESHWAR KUMAON,18.5
IN023420800,2016/05/18,29.3,NA,MUKTESHWAR KUMAON,18.5
MYM00048674,2016/05/18,38.2,NA,MERSING,30.22
IN011330900,2016/05/18,46.0,NA,SAGAR,34.05
IN022023000,2016/05/19,46.4,NA,NEW DELHI/PALAM,34.1
IN019140400,2016/05/19,48.8,NA,JAISALMER,35.41
IN011330900,2016/05/20,46.4,NA,SAGAR,34.05
IN019261900,2016/05/20,46.4,NA,UDAIPUR DABOK,34.99
IN019180500,2016/05/20,48.8,NA,JODHPUR,35.8
IN019140400,2016/05/20,49.0,NA,JAISALMER,35.41
USS0005N19S,2016/05/21,30.7,NA,Tolby,6.43
IN024140300,2016/05/24,36.2,NA,CALCUTTA/ALIPORE,31.35
KUM00040568,2016/05/24,39.6,NA,BUBYAN ISLAND,NA
KUM00040586,2016/05/24,44.5,NA,JAHRA,NA
BLM00085153,2016/05/28,NA,3.0,SAN IGNACIO DE MOXO,22.6
KUM00040586,2016/05/28,44.6,NA,JAHRA,NA
USR0000JOES,2016/05/28,62.2,NA,JOES VALLEY UTAH,NA
KUM00040568,2016/05/30,42.3,NA,BUBYAN ISLAND,NA
MUM00041242,2016/05/30,52.5,NA,DIBA,28.0
NOE00134274,2016/05/31,27.8,NA,OSLO - BLINDERN PLU,13.1
MUM00041267,2016/05/31,47.7,NA,QALHAT,34.57
NOE00134274,2016/06/01,29.4,NA,OSLO - BLINDERN PLU,17.67
NOE00134274,2016/06/03,30.7,NA,OSLO - BLINDERN PLU,17.67
USW00093210,2016/06/04,NA,-18.2,OROVILLE MUNI AP,25.24
KUM00040568,2016/06/05,42.5,NA,BUBYAN ISLAND,36.05
KUM00040586,2016/06/05,45.0,NA,JAHRA,NA
KUM00040568,2016/06/06,45.8,NA,BUBYAN ISLAND,36.05
KUM00040586,2016/06/06,47.8,NA,JAHRA,NA
KUM00040568,2016/06/07,46.0,NA,BUBYAN ISLAND,36.05
TX000038974,2016/06/08,47.3,NA,SARAGT,30.65
NG000061017,2016/06/08,49.0,NA,BILMA,35.4
KUM00040570,2016/06/10,47.4,NA,SALMY,35.92
KUM00040586,2016/06/10,49.5,NA,JAHRA,NA
BRM00083698,2016/06/10,NA,6.8,BARTOLOMEU LISANDRO,21.95
NZM00093929,2016/06/11,NA,1.0,ENDERBY ISLAND AWS,7.91
USC00317170,2016/06/12,40.0,NA,REELSBORO,26.11
ASN00004028,2016/06/13,NA,-1.0,PARDOO STATION,22.86
USW00003032,2016/06/13,NA,-17.1,DRYDEN TERRELL CO AP,28.08
BRM00083698,2016/06/13,NA,6.3,BARTOLOMEU LISANDRO,21.95
TUM00017034,2016/06/14,35.2,NA,GIRESUN,22.55
BRM00083698,2016/06/14,NA,5.6,BARTOLOMEU LISANDRO,21.95
USR0000ASOL,2016/06/18,35.0,NA,SOLLERS ARIZONA,22.3
SAM00041112,2016/06/18,38.1,NA,ABHA,25.57
USC00298834,2016/06/18,40.0,NA,THOREAU 12 SE,NA
USR0000ASOL,2016/06/19,37.2,NA,SOLLERS ARIZONA,22.3
USW00003029,2016/06/19,37.2,NA,WINDOW ROCK AP,20.9
USW00053132,2016/06/19,39.9,NA,ELGIN 5 S,24.25
USR0000ACAA,2016/06/19,40.0,NA,CARR ARIZONA,26.0
USW00003164,2016/06/19,41.7,NA,CAMPO ASOS,21.79
USC00022659,2016/06/19,43.9,NA,DOUGLAS,28.29
TUM00017237,2016/06/19,44.3,NA,DENIZLI,27.75
USW00053131,2016/06/19,45.4,NA,TUCSON 11 W,30.54
USR0000ASES,2016/06/19,46.7,NA,SELLES ARIZONA,30.97
USW00003184,2016/06/19,47.2,NA,PHOENIX DEER VALLEY MUNI AP,32.76
USC00026132,2016/06/19,48.3,NA,ORGAN PIPE CACTUS NM,NA
USW00053154,2016/06/19,48.9,NA,YUMA 27 ENE,33.1
USC00026194,2016/06/19,49.4,NA,PAINTED ROCK DAM,34.07
USC00057450,2016/06/20,27.8,NA,SANTA MARIA RSVR,12.15
USR0000AFLG,2016/06/20,36.1,NA,FLAGSTAFF ARIZONA,17.85
USR0000CBUR,2016/06/20,37.2,NA,BURNS CANYON CALIFORNIA,24.64
USW00053155,2016/06/20,37.4,NA,WILLIAMS 35 NNW,21.89
USW00003029,2016/06/20,37.8,NA,WINDOW ROCK AP,20.9
USW00023081,2016/06/20,38.3,NA,GALLUP MUNI AP,21.32
USR0000CRCH,2016/06/20,40.0,NA,RANCHITA CALIFORNIA,24.92
USW00023184,2016/06/20,40.6,NA,PRESCOTT LOVE FLD,24.63
USR0000AHPI,2016/06/20,41.1,NA,HOPI ARIZONA,23.3
USW00003164,2016/06/20,42.2,NA,CAMPO ASOS,21.79
USC00020683,2016/06/20,43.9,NA,BENSON 6SE,27.06
USC00023501,2016/06/20,43.9,NA,GLOBE #3,28.98
USC00023668,2016/06/20,44.4,NA,GREEN VALLEY,29.89
USC00029334,2016/06/20,44.4,NA,WILLCOX,27.22
USC00023150,2016/06/20,45.6,NA,FT THOMAS 2 SW,29.28
USW00003171,2016/06/20,45.6,NA,RIVERSIDE MUNI AP,25.26
USW00023130,2016/06/20,45.6,NA,VAN NUYS AP,24.28
USC00021357,2016/06/20,46.1,NA,CATALINA SP,28.81
USC00020080,2016/06/20,48.3,NA,AJO,32.86
MXM00076113,2016/06/20,48.8,NA,ALTAR (OBS),32.55
USW00023158,2016/06/20,51.1,NA,BLYTHE AP,34.04
USR0000CBEV,2016/06/20,56.7,NA,BEVERLY HILLS CALIFORNIA,27.0
USC00057450,2016/06/21,28.9,NA,SANTA MARIA RSVR,12.15
USW00053149,2016/06/21,36.7,NA,TORREY 7 E,23.66
USC00293428,2016/06/21,37.2,NA,GALLUP SAND & GRAVEL,21.75
USC00021654,2016/06/21,42.8,NA,CHINO VALLEY,25.29
KUM00040568,2016/06/21,46.2,NA,BUBYAN ISLAND,36.05
USC00392557,2016/06/22,43.9,NA,EDGEMONT,23.36
USR0000CEEL,2016/06/24,NA,-17.4,EEL RIVER CALIFORNIA,21.31
KUM00040568,2016/06/24,46.9,NA,BUBYAN ISLAND,36.05
USR0000CBEV,2016/06/25,57.8,NA,BEVERLY HILLS CALIFORNIA,27.0
IDM00097460,2016/06/26,NA,12.4,LABUHA/TALIABU,26.43
KUM00040570,2016/06/26,47.7,NA,SALMY,35.92
KUM00040568,2016/06/27,48.5,NA,BUBYAN ISLAND,36.05
KUM00040568,2016/06/28,48.7,NA,BUBYAN ISLAND,36.05
USR0000CBEV,2016/06/28,60.0,NA,BEVERLY HILLS CALIFORNIA,27.0
KUM00040570,2016/06/29,47.8,NA,SALMY,35.92
KUM00040586,2016/06/29,50.6,NA,JAHRA,NA
KUM00040570,2016/06/30,47.9,NA,SALMY,35.92
KUM00040568,2016/06/30,49.4,NA,BUBYAN ISLAND,36.05
SF000104560,2016/07/03,NA,-0.4,RIVERSDALE,13.28
NOE00133150,2016/07/03,28.2,NA,MEHAMN LUFTHAVN,13.32
RSM00022312,2016/07/03,30.6,NA,KOVDA,18.27
JA000047663,2016/07/03,38.6,NA,OWASE,25.77
SF000508870,2016/07/03,NA,-3.9,WILLOWMORE,10.87
RSM00022656,2016/07/04,32.3,NA,EMECK,19.57
CA002403756,2016/07/05,21.3,NA,STEFANSSON ISLAND,4.0
USC00317170,2016/07/05,41.1,NA,REELSBORO,28.97
CA002402051,2016/07/06,18.7,NA,FORT ROSS,5.63
CA002403756,2016/07/06,23.5,NA,STEFANSSON ISLAND,4.0
USR0000SSV1,2016/07/07,NA,-12.8,SAVRAW SOUTH CAROLINA,29.07
SF000508870,2016/07/07,NA,-4.3,WILLOWMORE,10.87
CA002402332,2016/07/08,19.5,NA,GATESHEAD ISLAND,5.02
CA002302337,2016/07/08,23.6,NA,GJOA HAVEN,8.82
CA002302340,2016/07/08,24.1,NA,GJOA HAVEN CLIMATE,9.18
RSM00030935,2016/07/08,39.3,NA,KRASNYJ CHIKOJ,20.55
CA002302340,2016/07/09,24.4,NA,GJOA HAVEN CLIMATE,9.18
RSM00030650,2016/07/09,35.9,NA,ROMANOVKA,17.4
MA000067083,2016/07/10,NA,-0.4,ANTANANARIVO/IVATO,14.6
CA002400602,2016/07/10,24.8,NA,CAMBRIDGE BAY GSN,10.2
USC00291883,2016/07/10,40.6,NA,CLAYTON 1 N,25.21
USC00293296,2016/07/10,43.3,NA,FT SUMNER 5 S,29.19
USW00027406,2016/07/13,29.4,NA,DEADHORSE AP,9.46
USC00505136,2016/07/13,29.4,NA,KUPARUK,9.58
USR0000CSHA,2016/07/13,38.3,NA,SHAVER CALIFORNIA,18.38
USC00297867,2016/07/13,43.9,NA,SAN JON,29.77
USC00502126,2016/07/14,28.3,NA,COLVILLE VILLAGE,8.31
USR0000AKOY,2016/07/14,30.0,NA,KOYUKUK NWR ALASKA,14.36
USC00505136,2016/07/14,30.0,NA,KUPARUK,9.58
USS0005N19S,2016/07/14,33.1,NA,Tolby,15.4
USR0000AKAI,2016/07/14,33.3,NA,KAIYUH ALASKA,16.2
USC00317170,2016/07/14,42.2,NA,REELSBORO,28.97
CA002202810,2016/07/15,33.0,NA,NORMAN WELLS CLIMATE,17.04
RSM00027930,2016/07/15,34.8,NA,LIPECK,21.4
USC00291445,2016/07/15,43.3,NA,CAPROCK,28.45
AGM00060656,2016/07/15,48.3,NA,TINDOUF,34.6
ASN00018192,2016/07/16,NA,-0.3,NORTH SHIELDS (PORT LINCOLN AW,11.31
CA008204402,2016/07/16,31.4,NA,PARRSBORO,17.51
RSM00027930,2016/07/16,36.7,NA,LIPECK,21.4
RSM00034238,2016/07/16,36.9,NA,ANNA,22.84
RSM00034013,2016/07/16,37.1,NA,LIVNY,21.36
TUM00017080,2016/07/16,39.8,NA,CANKIRI,23.6
USW00026492,2016/07/17,27.2,NA,PORTAGE GLACIER V C,14.04
RSM00034238,2016/07/17,37.9,NA,ANNA,22.84
UPM00034415,2016/07/17,39.6,NA,IZIUM,22.8
TUM00017080,2016/07/17,40.2,NA,CANKIRI,23.6
USW00026492,2016/07/18,28.3,NA,PORTAGE GLACIER V C,14.04
USC00507738,2016/07/18,30.0,NA,PORT SAN JUAN,15.53
SPE00119828,2016/07/18,37.0,NA,OVIEDO,19.05
UPM00033983,2016/07/18,37.7,NA,KERCH,25.07
KUM00040570,2016/07/18,48.3,NA,SALMY,37.87
FRE00104937,2016/07/19,32.3,NA,PTE DE LA HAGUE,16.75
FRM00007117,2016/07/19,36.2,NA,PLOUMANAC'H PERROS GUIREC,17.45
SAM00040435,2016/07/19,45.4,NA,AL-DAWADAMI,NA
KUM00040570,2016/07/19,49.0,NA,SALMY,37.87
CA006037776,2016/07/20,33.1,NA,SIOUX LOOKOUT A,17.68
CA006016529,2016/07/20,33.6,NA,PICKLE LAKE A,NA
CA006025205,2016/07/20,36.0,NA,MINE CENTRE SOUTHWEST,18.91
KUM00040570,2016/07/20,49.8,NA,SALMY,37.87
IZ000040665,2016/07/20,51.0,NA,KUT-AL-HAI,38.7
KUM00040586,2016/07/20,52.0,NA,JAHRA,NA
KUM00040570,2016/07/21,50.4,NA,SALMY,37.87
KU000405820,2016/07/21,51.5,NA,KUWAIT INTERNATIONA,39.76
ITM00016219,2016/07/22,28.1,NA,TERMINILLO MOUNTAIN,17.65
KUM00040570,2016/07/22,50.9,NA,SALMY,37.87
IZ000040665,2016/07/22,51.1,NA,KUT-AL-HAI,38.7
ASN00004028,2016/07/23,NA,-6.0,PARDOO STATION,NA
NZM00093929,2016/07/24,NA,-0.2,ENDERBY ISLAND AWS,6.45
WA007878380,2016/07/27,NA,-6.5,GOBABIS,13.51
USW00024215,2016/07/28,38.9,NA,MT SHASTA,21.06
USC00261327,2016/07/28,48.9,NA,BUNKERVILLE,34.74
POM00008512,2016/07/29,30.0,NA,PONTA DELGADA,23.1
USC00261327,2016/07/29,50.0,NA,BUNKERVILLE,34.74
TZ000063971,2016/07/30,35.0,NA,MTWARA,24.05
USC00055706,2016/07/30,35.6,NA,MONTE VISTA 2W,17.17
USC00261660,2016/07/30,39.4,NA,CHARLESTON - JARBIDGE 17SSW,18.52
SPM00008359,2016/07/31,38.8,NA,ALICANTE,26.3
MGM00044352,2016/08/02,39.4,NA,BAYANDELGER,22.85
SA000040361,2016/08/02,47.2,NA,AL-JOUF,35.95
KUM00040568,2016/08/02,51.2,NA,BUBYAN ISLAND,36.47
MG000044317,2016/08/03,39.5,NA,ERDENETSAGAAN,21.75
MGM00044314,2016/08/03,40.7,NA,MATAD,21.35
MGM00044256,2016/08/03,41.4,NA,DASHBALBAR,19.6
RSM00030978,2016/08/03,41.6,NA,KAJLASTUJ,19.23
MGM00044313,2016/08/03,41.7,NA,KHALKH-GOL,20.7
MG000044259,2016/08/03,41.9,NA,CHOIBALSAN,21.75
CA0061219J2,2016/08/04,28.7,NA,COVE ISLAND (AUT),21.78
MG000044317,2016/08/04,40.0,NA,ERDENETSAGAAN,21.75
KNM00047016,2016/08/05,39.7,NA,HYESAN,21.65
SPE00120413,2016/08/07,40.8,NA,VIGO PEINADOR,21.85
JA000047657,2016/08/08,37.2,NA,MISHIMA,27.59